No.,"Issue
Date",Contents,Author,URL
第59卷587期,20230220,高山深水不足畏 叢林城鎮任縱橫,汪念瑩,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第59卷587期,20230220,薪火相傳、我武維揚—鎮東部隊,鄧穎隆、陳楚心,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第59卷587期,20230220,無私無畏 愛民如己 為民前鋒 勤訓精練 精實戰力,蘇統偉,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第59卷587期,20230220,中英對照－軍爭篇,黎明文化出版社授權刊登,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第59卷587期,20230220,ADP 5-0 作戰規劃程序 第二章 計畫(上) ,鄧炘傑,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第59卷587期,20230220,1942年英、日新加坡作戰對我防衛作戰之啟示,謝志淵,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第59卷587期,20230220,中共第二十屆黨全國代表大會軍事高層菁英甄補研析,許宏任,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第59卷587期,20230220,忠誠精實大家庭，緣定今生同歡慶,余永章,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷586期,20221213,勤訓嚴考—捷豹部隊，陸軍戰力之把關者,蔡承晏,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷586期,20221213,傳承海鵬部隊軍魂，再現勝利之師榮耀,朱君亹,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷586期,20221213,防毒抗疫化學兵、榮耀傳承花崗情,林麗卿,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷586期,20221213,共軍城鎮戰演變與展望：學習、訓練及對臺之意涵,蔡婷?、吳佳幸,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷586期,20221213,從野戰戰略評析龍陵戰役對國軍之啟示,蕭新民,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷586期,20221213,指參作業程序之計畫作為與計畫執行階段關係研究,余永章,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷586期,20221213,中共非戰爭軍事行動之發展—以胡、習兩時期為例,謝游麟,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷585期,20221003,毋忘在莒—弘揚莒光部隊優良軍風與光輝歷史,陳益舜,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷585期,20221003,我武維揚—傳承長城部隊軍魂精神，榮耀歷史見證,彭智麟,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷585期,20221003,科技先導—引領陸軍教育訓練數位化轉型,陳致聰,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷585期,20221003,戰術防禦重返軍事主流之研究,劉宗翰,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷585期,20221003,1945年沖繩島戰役之研究—兼論對國軍防衛作戰啟示,鄒琮隆,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷585期,20221003,美、「中」近年南海軍事平衡作為之意涵與影響,吳慕強,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷585期,20221003,共軍聯合登陸作戰能力之研究—以2020、2021年軍演為例,王健民,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷584期,20220801,任重而道遠—傳承岳崙部隊軍魂精神，榮耀歷史見證,余家明,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷584期,20220801,製造翻修 整舊如新—陸軍兵整中心,石岳修,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷584期,20220801,我武維揚—傳承銀河部隊軍魂精神，榮耀歷史見證,黃清培,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷584期,20220801,我武維揚—傳承精勤部隊軍魂精神，榮耀歷史見證,王彩庄,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷584期,20220801,戰區陸上作戰之分析—對伊拉克聯軍陸上部隊作戰經驗觀察及省思,鄧炘傑,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
